abstract	text	label
1480	. j gen virol.  apr;(pt ):-. yaba-like disease virus chemokine receptor l, ccr orthologue. najarro p(), gubser c, hollinshead m, fox j, pease j, smith gl. author information: ()department virology, faculty medicine, imperial college london, st mary's campus, norfolk place, london w pg, uk. yaba-like disease virus (yldv) gene l encodes seven-transmembrane g protein-coupled receptor  % amino acid identity human cc chemokine receptor  (ccr). initial characterization l showed  kda cell-surface glycoprotein binds human ccl high affinity (kd=. nm) induces signal transduction activation heterotrimeric g proteins downstream protein kinases. characterization yldv l presented shows murine cc chemokines induce g-protein activation via l receptor, despite low binding affinity receptor. addition, expressed recombinant vaccinia virus (vacv), yldv l found outer envelope vacv extracellular enveloped virus. contribution l poxvirus pathogenesis investigated infection mice recombinant vacv expressing l (vdeltabr-l) compared outcome infection parental revertant control viruses. intranasal intradermal models, expression l caused attenuation vacv. role protein viral virulence discussed. doi: ./vir..- pmid:  [indexed medline]	1
1481	. j cell sci.  jun ;(pt ):-. nucleolar protein upstream binding factor sequestered adenovirus dna replication centres infection without affecting rna polymerase location ablating rrna synthesis. lawrence fj(), mcstay b, matthews da. author information: ()division virology, department cellular molecular medicine, university walk, university bristol, bristol, bs td, uk. erratum j cell sci.  jul ;(pt ):. human adenovirus infects human cells disruption rrna biogenesis. report examines effect adenovirus infection nucleolar protein, upstream binding factor (ubf) plays major role regulating rrna synthesis. determined early infection, ubf associates replication viral dna, preferentially associating ends linear viral genome, addition anti-ubf serum vitro replication assays markedly reduced viral dna replication. regions ubf important observations also established. interestingly, sequestering majority ubf nucleolus lead ablation rrna synthesis sequestration rna pol i. infected cells bulk rna synthesis rna pol associated distinct location detectable ubf. propose ubf plays role viral dna replication, strengthening role nucleolar antigens adenovirus life cycle. doi: ./jcs. pmid:  [indexed medline]	1
1482	. j virol.  nov;():-. doi: ./jvi.-. epub  aug . essential, nonredundant roles rig-i mda detecting controlling west nile virus infection. errett js(), suthar ms, mcmillan a, diamond ms, gale jr. author information: ()department immunology, university washington school medicine, seattle, washington, usa. virus recognition response innate immune system critical components host defense infection. activation cell-intrinsic immunity optimal priming adaptive immunity west nile virus (wnv), emerging vector-borne virus, depend recognition rig-i mda, two cytosolic pattern recognition receptors (prrs) rig-i-like receptor (rlr) protein family recognize viral rna activate defense programs suppress infection. evaluated individual functions rig-i mda vitro vivo pathogen recognition control wnv. lack rig-i mda alone results decreased innate immune signaling virus control primary cells vitro increased mortality mice. also generated rig-i(-/-)   mda(-/-) double-knockout mice found lack rlrs results complete absence innate immune gene induction target cells wnv infection severe pathogenesis infection vivo, similar findings animals lacking mavs, central adaptor molecule rlr signaling. also found rna products wnv-infected cells incoming virion rna display least two distinct pathogen-associated molecular patterns (pamps) containing ' triphosphate double-stranded rna temporally distributed sensed rig-i mda infection. thus, rig-i mda essential prrs recognize distinct pamps accumulate wnv replication. collectively, experiments highlight necessity function multiple related, cytoplasmic host sensors orchestrating effective immune response acute viral infection. doi: ./jvi.- pmcid: pmc pmid:  [indexed medline]	1
1483	. j gastroenterol hepatol.  apr;():-. novel hepatitis b virus x-interactive protein: cytochrome c oxidase iii. wang xz(), li d, tao qm, lin n, chen zx. author information: ()department gastroenterology, union hospital fujian medical university, fuzhou, fujian province, china. drwangxz@pub.fz.fj.cn background: hepatitis b virus-encoded x protein shown capable activating many different viral cellular promoters protein-protein interactions contribute development hepatocellular carcinoma. mechanism yet identified unequivocally, aim present study screen cellular proteins interact x protein. methods: yeast two-hybrid system used screen x-interactive protein. false positive clones eliminated segregation analysis, putative positive clones amplified, sequenced analyzed bioinformatics. mating experiment performed confirm binding putative proteins x protein yeast cells. specific interaction x protein putative proteins mammalian cells verified coimmunoprecipitation. results: hepatitis b virus x-interactive protein recovered human liver cdna library cytochrome c oxidase iii. specific interaction protein x cytochrome c oxidase iii verified mating experiment coimmunoprecipitation cos cell lysates expressing proteins. conclusion: data support speculation cytochrome c oxidase iii novel functional target hepatitis b virus x protein cells. doi: ./j.-...x pmid:  [indexed medline]	1
1484	. j biol chem.  sep ;():-. epub  jun . post-translational modification rta epstein-barr virus sumo-. chang lk(), lee yh, cheng ts, hong yr, lu pj, wang jj, wang wh, kuo cw, li ss, liu st. author information: ()faculty biological medicine environmental biology graduate institute biochemistry, kaohsiung medical university, , shih-chuan st road, kaohsiung, taiwan. epstein-barr virus (ebv) expresses immediate-early protein, rta, activate transcription ebv lytic genes lytic cycle. work identifies ubc pias binding partners rta yeast two-hybrid screen. bindings verified glutathione s-transferase pull-down assay, coimmunoprecipitation, confocal microscopy. interactions appear cause rta sumoylation, rta sumoylated vitro also sumoylated rta detected phr cells following lytic induction cells transfecting plasmids express rta sumo-. moreover, pias stimulates conjugation sumo- rta, thus acting e ligase. furthermore, transfecting plasmids express ubc, pias, sumo- increases capacity rta transactivate promoter includes rta response element, indicating modification sumo- increases transactivation activity rta. study reveals rta sumoylated lys-, lys-, lys- residues sumo- conjugation lys- residue crucial enhancing transactivation activity rta. results indicate sumoylation rta may important ebv lytic activation. doi: ./jbc.m pmid:  [indexed medline]	1
1485	. eur j cell biol.  apr;():-. doi: ./j.ejcb.... epub  sep . molecular mechanism structural basis interactions dipeptidyl peptidase iv adenosine deaminase human immunodeficiency virus type- transcription transactivator. fan h(), tansi fl, weihofen wa, b ttcher c, hu j, martinez j, saenger w, reutter w. author information: ()institut f r biochemie und molekularbiologie, charit -universit tsmedizin berlin, arnimallee ,  berlin-dahlem, germany. hua.fan@charite.de dipeptidyl peptidase iv (dppiv cd) multifunctional membrane glycoprotein. exopeptidase regulates activity series biologically important peptides. interaction specific proteins peptides, dppiv also involved wide range biologically relevant processes cell adhesion, cell activation apoptosis. paper, review recent studies interactions dppiv adenosine deaminase (ada) transcription transactivator human immunodeficiency virus type- (hiv- tat) revealed three-dimensional structure reconstructed single particle analysis cryo-electron microscopy (em) crystal structures human dppiv-bovine ada complex well crystal structures dppiv complex hiv- tat-derived nonapeptides. results contribute importantly clarification molecular mechanisms multifunctional protein. biological relevance interactions discussed. copyright    elsevier gmbh. rights reserved. doi: ./j.ejcb... pmid:  [indexed medline]	1
1486	. oncogene.  sep ;():-. hpv e maguk protein interactions: determination molecular basis specific protein recognition degradation. thomas m(), glaunsinger b, pim d, javier r, banks l. author information: ()international centre genetic engineering biotechnology, padriciano , i- trieste, italy. recently shown high-risk human papillomavirus (hpv) e proteins target pdz-domain containing proteins, dlg, mupp-, magi- hscrib proteasome-mediated degradation. however, e proteins hpv- hpv- (the two common high-risk virus types) differ ability target proteins manner correlates malignant potential. investigate underlying mechanisms this, mutated hpv- hpv- es give protein other's pdz-binding motif. analysis mutants shows greater ability hpv- e bind proteins target degradation indeed due single amino acid difference. using number assays, show e proteins interact specifically one five pdz domains magi-, first interaction described particular pdz domain. also show guanylate kinase homology domain regions magi- downstream amino acid  required degradation magi-. finally, series comparative analyses, show degradation magi- occurs different mechanism used e protein induce degradation dlg p. doi: ./sj.onc. pmcid: pmc pmid:  [indexed medline]	1
1487	. arch virol.  may;():-. doi: ./s---. epub  feb . smurf alters bpv trafficking decreases infection. dabydeen sa(), meneses pi. author information: ()school graduate postdoctoral studies, rosalind franklin university medicine science, north chicago, il , usa. papillomavirus capsid proteins l l mediate virion attachment, internalization trafficking. studies capsid proteins, identified interaction l e ligase smad ubiquitin regulatory factor  (smurf). smurf expression alters bpv virion trafficking l protein levels. using bpv pseudovirions (psvs) containing gfp dsred transgene encapsidated l l proteins, data showed although bpv l interacts smurf, l l levels decrease smurf- ubiquitin-dependent manner. decrease l protein levels corresponded decrease infection (i.e., loss gfp dsred expression). propose smurf regulates l protein cellular localization therefore alters l protein levels. change trafficking protein level decreases nuclear delivery transcription encapsidated pseudoviral transgenes thus decreases bpv infection levels. doi: ./s--- pmid:  [indexed medline]	1
1488	. nature.  aug ;():-. doi: ./nature. ebola virus entry requires cholesterol transporter niemann-pick c. carette je(), raaben m, wong ac, herbert as, obernosterer g, mulherkar n, kuehne ai, kranzusch pj, griffin am, ruthel g, dal cin p, dye jm, whelan sp, chandran k, brummelkamp tr. author information: ()whitehead institute biomedical research, nine cambridge center, cambridge, massachusetts , usa. comment nat rev drug discov.  oct;():. infections ebola marburg filoviruses cause rapidly fatal haemorrhagic fever humans approved antivirals available. filovirus entry mediated viral spike glycoprotein (gp), attaches viral particles cell surface, delivers endosomes catalyses fusion viral endosomal membranes. additional host factors endosomal compartment probably required viral membrane fusion; however, despite considerable efforts, critical host factors defied molecular identification. describe genome-wide haploid genetic screen human cells identify host factors required ebola virus entry. screen uncovered  mutations disrupting six members homotypic fusion vacuole protein-sorting (hops) multisubunit tethering complex, involved fusion endosomes lysosomes,  independent mutations disrupt endo/lysosomal cholesterol transporter protein niemann-pick c (npc). cells defective hops complex npc function, including primary fibroblasts derived human niemann-pick type c disease patients, resistant infection ebola virus marburg virus, remain fully susceptible suite unrelated viruses. show membrane fusion mediated filovirus glycoproteins viral escape vesicular compartment require npc protein, independent known function cholesterol transport. findings uncover unique features entry pathway used filoviruses indicate potential antiviral strategies combat deadly agents. doi: ./nature pmcid: pmc pmid:  [indexed medline]	1
1489	. j virol.  oct;():-. human immunodeficiency virus type  nef binds directly lck mitogen-activated protein kinase, inhibiting kinase activity. greenway a(), azad a, mills j, mcphee d. author information: ()aids cellular biology unit, macfarlane burnet centre medical research, fairfield, victoria, australia. well established human immunodeficiency virus type (hiv-) nef contributes substantially disease pathogenesis augmenting virus replication markedly perturbing t-cell function. effect nef host cell activation could explained part interaction specific cellular proteins involved signal transduction, including least member src family kinase, lck, serine/threonine kinase, mitogen-activated protein kinase (mapk). recombinant nef directly interacted purified lck mapk coprecipitation experiments binding assays. proline-rich repeat sequence [(pxx)] nef occurring amino acid residues   highly conserved bears strong resemblance defined consensus sequence identified sh binding domain present several proteins interact sh domain various signalling cytoskeletal proteins. binding coprecipitation assays short synthetic peptides corresponding proline-rich repeat sequence [(pxx)] nef sh, sh, sh sh domains lck revealed interaction two proteins least part mediated proline repeat sequence nef sh domain lck. addition direct binding full-length nef, mapk also shown bind proline repeat motif. nef protein significantly decreased vitro kinase activity lck mapk. inhibition key members signalling cascades, including emanating t-cell receptor, hiv- nef protein undoubtedly alters ability infected cell respond antigens cytokines, facilitating hiv- replication contributing hiv--induced disease pathogenesis. doi: ./jvi...-. pmcid: pmc pmid:  [indexed medline]	1
1490	. proc natl acad sci u a.  mar ;():-. antivirally active mxa protein sequesters la crosse virus nucleocapsid protein perinuclear complexes. kochs g(), janzen c, hohenberg h, haller o. author information: ()abteilung virologie, institut f r medizinische mikrobiologie und hygiene, universit t freiburg, d- freiburg, germany. kochs@ukl.uni-freiburg.de bunyaviruses replicate cytoplasm infected cells. new viral particles formed budding nucleocapsids golgi apparatus. previously shown ifn-induced human mxa protein inhibits bunyavirus replication unknown mechanism. demonstrate mxa binds nucleocapsid protein la crosse virus (lacv) colocalizes viral protein cytoplasmic complexes. electron microscopy revealed complexes accumulated perinuclear area consisted highly ordered fibrillary structures. similar mxa-mediated redistribution viral nucleocapsid proteins detected bunyaviruses, bunyamwera virus rift valley fever virus. mxa(er), carboxy-terminal mutant mxa without antiviral activity lacv, lead complex formation. wild-type mxa, mxa(er), able bind lacv nucleocapsid protein coimmunoprecipitation assays, demonstrating importance carboxy-terminal effector domain mxa. results illustrate efficient mechanism ifn action whereby essential virus component trapped cytoplasmic inclusions becomes unavailable generation new virus particles. doi: ./pnas. pmcid: pmc pmid:  [indexed medline]	1
1491	. j biol chem.  oct ;():-. doi: ./jbc.m.. epub  aug . interaction hiv- intasome transportin  protein (tnpo trn-sr). larue r(), gupta k, wuensch c, shkriabai n, kessl jj, danhart e, feng l, taltynov o, christ f, van duyne gd, debyser z, foster mp, kvaratskhelia m. author information: ()center retrovirus research comprehensive cancer center, college pharmacy, ohio state university, columbus, ohio , usa. transportin  (tnpo trn-sr) shown important cellular factor early steps lentiviral replication. however, separate studies implicated distinct mechanisms tnpo either interaction hiv- integrase capsid. carried detailed biophysical characterization tnpo investigated interactions viral proteins. biophysical analyses including circular dichroism, analytical ultracentrifugation, small-angle x-ray scattering, homology modeling provide insight tnpo architecture indicate highly structured exists monomer-dimer equilibrium solution. vitro biochemical binding assays argued meaningful direct interaction tnpo capsid cores. instead, tnpo effectively bound functional intasome naked viral dna, suggesting tnpo directly engage hiv- tetramer prebound cognate dna. mass spectrometry-based protein footprinting site-directed mutagenesis studies enabled us map several interacting amino acids hiv- c-terminal domain cargo binding domain tnpo. findings provide important information future genetic analysis better understand role tnpo interacting partners hiv- replication. doi: ./jbc.m. pmcid: pmc pmid:  [indexed medline]	1
1492	. biochim biophys acta.  oct ;():-. hepatitis c virus nsa protein binds tbp p, inhibiting dna binding p interactions tbp ercc. qadri i(), iwahashi m, simon f. author information: ()department medicine, division gastroenterology hepatology, hepatobiliary center, university colorado health sciences center, b-,  e., th avenue, denver , usa. ishtiaq.qadri@uchsc.edu among hepatotropic viruses, hepatitis c virus (hcv) considered leading cause liver disease humans, affecting approximately % world population. hcv-encoded nonstructural protein (nsa) --kda phosphoprotein, produced processing viral polyprotein. potential mechanism(s) nsa able influence key cellular processes largely unknown. study, investigated functional properties nsa. vivo co-immunoprecipitation pull-down assays demonstrated nsa forms heteromeric complex tata box binding protein (tbp) tumor suppressor protein p. mutants tbp p showed reduced binding nsa. determine functional relevance associations, found nsa inhibits binding p tbp dna consensus binding sequences vitro. nsa also inhibited p-tbp p-excision repair cross complementing factor  (ercc) protein-protein complex formation. furthermore, nsa repressed p regulated p (waf) promoter synthetic promoter containing multiple p responsive dna elements binding sites hct p(+/+) cell line. p-mediated transcriptional activation promoters reduced approximately --fold following expression nsa. taken together, results suggest nsa may exert influence key cellular processes functional associations p tbp. could explain one possible mechanism(s) nsa able exert effect cellular gene expression cell growth regulation. doi: ./s-()- pmid:  [indexed medline]	1
1493	. j immunol.  oct ;():-. doi: ./jimmunol.. epub  sep . mcpip suppresses hepatitis c virus replication negatively regulates virus-induced proinflammatory cytokine responses. lin rj(), chu js(), chien hl(), tseng ch(), ko pc(), mei yy(), tang wc(), kao yt(), cheng hy(), liang yc(), lin sy(). author information: ()department general medicine, school medicine, college medicine, taipei medical university, taipei , taiwan; department primary care medicine, taipei medical university hospital, taipei , taiwan; ()department pathology, school medicine, college medicine, taipei medical university, taipei , taiwan; department pathology, taipei medical university hospital, taipei , taiwan; ()institute molecular biology, academia sinica, taipei , taiwan; ()department microbiology immunology, college medicine, national cheng kung university, tainan , taiwan; center infectious disease signaling research, national cheng kung university, tainan , taiwan; ()school medical laboratory science biotechnology, college medical science technology, taipei medical university, taipei , taiwan; ()graduate institute life sciences, national defense medical center, taipei , taiwan; and. ()school medical laboratory science biotechnology, college medical science technology, taipei medical university, taipei , taiwan; traditional herbal medicine research center, taipei medical university hospital, taipei , taiwan sylin@tmu.edu.tw ycliang@tmu.edu.tw. ()department general medicine, school medicine, college medicine, taipei medical university, taipei , taiwan; department primary care medicine, taipei medical university hospital, taipei , taiwan; sylin@tmu.edu.tw ycliang@tmu.edu.tw. human mcp--induced protein  (mcpip, also known zcha regnase-) plays important roles negatively regulating cellular inflammatory response. recently, found rnase, mcpip broad-spectrum antiviral effects targeting viral rna. study, demonstrated mcpip expression induced hepatitis c virus (hcv) infection huh. hepatoma cells. mcpip expression higher liver tissue patients chronic hcv infection compared without chronic hcv infection. knockdown mcpip increased hcv replication hcv-mediated expression proinflammatory cytokines, tnf- , il-, mcp-. however, overexpression mcpip significantly inhibited hcv replication hcv-mediated expression proinflammatory cytokines. various mutants functional domains mcpip showed disruption rna binding oligomerization abilities, well rnase activity, deubiquitinase activity, impaired inhibitory activity hcv replication. immunocytochemistry, mcpip colocalized hcv rna. use replication-defective hcv john cunningham /aag mutant vitro rna cleavage assay demonstrated mcpip could directly degrade hcv rna. mcpip may suppress hcv replication hcv-mediated proinflammatory responses infection, might contribute regulation host defense infection virus-induced inflammation. copyright    american association immunologists, inc. doi: ./jimmunol. pmid:  [indexed medline]	1
